company_id,company
1,City Service
2,Taxi Affiliation Services
3,Tac - Yellow Cab Association
4,5 Star Taxi
5,Flash Cab
6,Globe Taxi
7,Choice Taxi Association Inc
8,Sun Taxi
9,Patriot Taxi Dba Peace Taxi Associat
10,Medallion Leasin
11,Taxicab Insurance Agency Llc
12,Blue Ribbon Taxi Association
13,Chicago Independents
14,"Taxicab Insurance Agency, LLC"
15,Chicago City Taxi Association
16,Top Cab
17,Choice Taxi Association
18,Tac - Checker Cab Dispatch
19,Star North Taxi Management Llc
20,Tac - American United Dispatch
21,Chicago Taxicab
22,Wolley Taxi
23,Koam Taxi Association
24,312 Medallion Management Corp
25,Tac - Blue Diamond Dispatch
26,3591 - 63480 Chuks Cab
27,4053 - 40193 Adwar H. Nikola
28,2733 - 74600 Benny Jona
29,Setare Inc
30,U Taxicab
31,6574 - Babylon Express Inc.
32,5167 - 71969 5167 Taxi Inc
33,3556 - 36214 RC Andrews Cab
34,Tac - Yellow Non Color
35,Metro Jet Taxi A.
